,0,1,2,3,4,5,6,7,8,9
0,network,net type,year,nodes,edges,avg_shortest_path_length,avg_clustering,density,diameter,community
1,contiguity,undirected,1925,55,142,-9,0.5738205229114319,0.09562289562289562,-9,0.604914699464392
2,contiguity,undirected,1950,70,161,-9,0.5762981859410432,0.06666666666666667,-9,0.671675475483199
3,contiguity,undirected,1975,146,413,5.170807746811525,0.6067360311322099,0.03901747756258857,13,0.7376369680305331
4,contiguity,undirected,2000,189,542,-9,0.566856489638936,0.03050771135877519,-9,0.7459048760229299
5,dip_exchange,undirected,1925,54,720,1.4975541579315164,0.7982438706681492,0.5031446540880503,3,0.12804687500000003
6,dip_exchange,undirected,1950,75,1070,1.634954954954955,0.7632166633829284,0.3855855855855856,3,0.1722355664250153
7,dip_exchange,undirected,1975,143,4340,1.5868216290751502,0.7568865225628982,0.42745986407958236,3,0.11936471362738647
8,dip_exchange,undirected,2000,190,4406,1.7817321080478976,0.7550479364537381,0.24539125591757172,4,0.1488374496132353
9,dir_alliances,undirected,1925,26,41,-9,0.44688644688644685,0.12615384615384614,-9,0.610350981558596
10,dir_alliances,undirected,1950,55,328,-9,0.7926860562051178,0.22087542087542086,-9,0.47917441255205223
11,dir_alliances,undirected,1975,96,657,-9,0.7419345579279119,0.14407894736842106,-9,0.6403258202845367
12,dir_alliances,undirected,2000,138,1146,-9,0.7745025783302776,0.12123135512535703,-9,0.6525546783866183
13,trade,directed,1925,59,1386,1.597895967270602,0.7955905770061176,0.40502630040911747,3,-9
14,trade,directed,1950,66,2177,1.4925407925407925,0.7698150035070239,0.5074592074592075,2,-9
15,trade,directed,1975,148,10273,1.5161794447508734,0.7633826539054173,0.47219157933443645,-9,-9
16,trade,directed,2000,183,20189,1.393832943013271,0.8201114873175973,0.6061670569867291,2,-9
17,terr_exchange,directed,1,177,221,-9,0.05026203821397174,0.007094247560349255,-9,-9
18,military_conflict,undirected,1,174,719,2.8129692379243902,0.38718989365466094,0.0477709122317454,7,0.39967618447039527
