,0,1,2,3,4,5
0,contiguity,1925,degree_centrality,55,0.0956228956228956,"{345: 0.12962962962962962, 305: 0.1111111111111111, 310: 0.07407407407407407, 325: 0.12962962962962962, 339: 0.05555555555555555, 350: 0.09259259259259259, 355: 0.09259259259259259, 360: 0.12962962962962962, 700: 0.05555555555555555, 365: 0.24074074074074073, 630: 0.05555555555555555, 710: 0.05555555555555555, 160: 0.09259259259259259, 140: 0.12962962962962962, 145: 0.09259259259259259, 150: 0.05555555555555555, 155: 0.05555555555555555, 165: 0.037037037037037035, 225: 0.07407407407407407, 255: 0.2962962962962963, 315: 0.09259259259259259, 211: 0.1111111111111111, 200: 0.12962962962962962, 210: 0.1111111111111111, 212: 0.05555555555555555, 220: 0.18518518518518517, 390: 0.2037037037037037, 135: 0.09259259259259259, 100: 0.1111111111111111, 101: 0.05555555555555555, 640: 0.09259259259259259, 20: 0.018518518518518517, 2: 0.05555555555555555, 712: 0.037037037037037035, 42: 0.05555555555555555, 95: 0.05555555555555555, 130: 0.037037037037037035, 94: 0.07407407407407407, 90: 0.09259259259259259, 92: 0.07407407407407407, 93: 0.09259259259259259, 40: 0.07407407407407407, 70: 0.07407407407407407, 91: 0.09259259259259259, 290: 0.18518518518518517, 366: 0.12962962962962962, 367: 0.14814814814814814, 368: 0.1111111111111111, 380: 0.14814814814814814, 385: 0.12962962962962962, 375: 0.14814814814814814, 205: 0.037037037037037035, 230: 0.05555555555555555, 740: 0.018518518518518517, 235: 0.018518518518518517}"
1,contiguity,1925,closeness_centrality,55,0.20986524279056967,"{345: 0.2619047619047619, 305: 0.27252252252252257, 310: 0.2400793650793651, 325: 0.2653508771929825, 339: 0.212280701754386, 350: 0.24297188755020083, 355: 0.25854700854700857, 360: 0.2880952380952381, 700: 0.21006944444444448, 365: 0.3055555555555556, 630: 0.22161172161172163, 710: 0.21006944444444448, 160: 0.11757789535567312, 140: 0.15117157974300832, 145: 0.1194743130227001, 150: 0.11396011396011396, 155: 0.11396011396011396, 165: 0.1122334455667789, 225: 0.2619047619047619, 255: 0.33611111111111114, 315: 0.2800925925925926, 211: 0.24897119341563786, 200: 0.2800925925925926, 210: 0.2762557077625571, 212: 0.2400793650793651, 220: 0.284037558685446, 390: 0.3009950248756219, 135: 0.14524328249818444, 100: 0.18066847335140016, 101: 0.15117157974300832, 640: 0.2552742616033756, 20: 0.08818342151675485, 2: 0.11396011396011396, 712: 0.20790378006872853, 42: 0.15760441292356187, 95: 0.15117157974300832, 130: 0.1299545159194282, 94: 0.13468013468013468, 90: 0.1214329083181542, 92: 0.11574074074074073, 93: 0.13976240391334732, 40: 0.14524328249818444, 70: 0.12345679012345678, 91: 0.12554927809165095, 290: 0.32010582010582017, 366: 0.2922705314009662, 367: 0.2965686274509804, 368: 0.25854700854700857, 380: 0.2653508771929825, 385: 0.2965686274509804, 375: 0.2965686274509804, 205: 0.212280701754386, 230: 0.22161172161172163, 740: 0.20578231292517007, 235: 0.1639566395663957}"
2,contiguity,1925,eigenvector_centrality,55,0.08245034886596687,"{345: 0.04843714682303827, 305: 0.09314957420388222, 310: 0.043464786535124096, 325: 0.06199060514780829, 339: 0.01695901794977318, 350: 0.02832053811615717, 355: 0.052867793649978484, 360: 0.09953564167118316, 700: 0.03334908112941043, 365: 0.20479912836424025, 630: 0.035395908926248804, 710: 0.0326549331292796, 160: 9.466378270227624e-07, 140: 1.2857068762276977e-06, 145: 1.0340381978241454e-06, 150: 7.331162199704293e-07, 155: 6.639328972370022e-07, 165: 5.010721495878398e-07, 225: 0.09204304294008667, 255: 0.401695600993582, 315: 0.11448785858499984, 211: 0.1708218322473456, 200: 0.19042110686047317, 210: 0.18527415639943187, 212: 0.09395925486846482, 220: 0.19623458493814525, 390: 0.33003911513205136, 135: 9.774229449469817e-07, 100: 9.378052240637232e-07, 101: 5.952722644901979e-07, 640: 0.05144730484745212, 20: 3.985412223570255e-08, 2: 1.7399127204447311e-07, 712: 0.029022760241968183, 42: 4.238592186500398e-07, 95: 4.5528885985148843e-07, 130: 4.304729882784521e-07, 94: 4.825237972364881e-07, 90: 5.694846519628104e-07, 92: 4.996792462242571e-07, 93: 5.839813471428849e-07, 40: 3.460329922040353e-07, 70: 3.7426912533667435e-07, 91: 5.439115257662858e-07, 290: 0.2988588718433179, 366: 0.2509443167572241, 367: 0.27554886793083994, 368: 0.22591283060536405, 380: 0.27792920488756173, 385: 0.22665671287608033, 375: 0.26428935084041155, 205: 0.04725819770846972, 230: 0.03203992007704682, 740: 0.02503148615186008, 235: 0.003916055896129245}"
3,contiguity,1950,degree_centrality,70,0.06666666666666667,"{41: 0.043478260869565216, 40: 0.07246376811594203, 42: 0.057971014492753624, 100: 0.13043478260869565, 678: 0.014492753623188406, 670: 0.08695652173913043, 345: 0.08695652173913043, 310: 0.057971014492753624, 325: 0.08695652173913043, 339: 0.043478260869565216, 350: 0.08695652173913043, 355: 0.07246376811594203, 360: 0.07246376811594203, 700: 0.057971014492753624, 365: 0.2318840579710145, 630: 0.08695652173913043, 710: 0.15942028985507248, 770: 0.07246376811594203, 160: 0.07246376811594203, 140: 0.10144927536231885, 145: 0.07246376811594203, 150: 0.043478260869565216, 155: 0.043478260869565216, 165: 0.028985507246376812, 900: 0.014492753623188406, 850: 0.07246376811594203, 211: 0.07246376811594203, 200: 0.08695652173913043, 210: 0.07246376811594203, 212: 0.028985507246376812, 220: 0.13043478260869565, 390: 0.11594202898550725, 135: 0.07246376811594203, 101: 0.043478260869565216, 640: 0.14492753623188406, 20: 0.014492753623188406, 2: 0.043478260869565216, 712: 0.028985507246376812, 713: 0.028985507246376812, 731: 0.043478260869565216, 732: 0.043478260869565216, 750: 0.10144927536231885, 775: 0.07246376811594203, 790: 0.028985507246376812, 840: 0.043478260869565216, 93: 0.08695652173913043, 94: 0.07246376811594203, 95: 0.043478260869565216, 130: 0.028985507246376812, 90: 0.07246376811594203, 92: 0.057971014492753624, 70: 0.057971014492753624, 91: 0.07246376811594203, 315: 0.043478260869565216, 290: 0.07246376811594203, 380: 0.07246376811594203, 385: 0.08695652173913043, 651: 0.10144927536231885, 652: 0.08695652173913043, 660: 0.057971014492753624, 663: 0.07246376811594203, 666: 0.08695652173913043, 375: 0.057971014492753624, 205: 0.028985507246376812, 225: 0.028985507246376812, 230: 0.043478260869565216, 780: 0.014492753623188406, 800: 0.043478260869565216, 645: 0.07246376811594203, 235: 0.014492753623188406}"
4,contiguity,1950,closeness_centrality,70,0.19233556119072961,"{41: 0.13598519888991675, 40: 0.12290969899665553, 42: 0.1389413988657845, 100: 0.172737955346651, 678: 0.17028985507246377, 670: 0.22545417432129006, 345: 0.23198907792480572, 310: 0.25208262010726923, 325: 0.2163141402271837, 339: 0.1988477810784049, 350: 0.24626532887402452, 355: 0.2667874396135266, 360: 0.2667874396135266, 700: 0.26241387502969826, 365: 0.34424185756584075, 630: 0.2808288838037122, 710: 0.27838689350976686, 770: 0.2354006820119352, 160: 0.10477548111190307, 140: 0.1389413988657845, 145: 0.10652173913043478, 150: 0.10144927536231885, 155: 0.10144927536231885, 165: 0.09986413043478262, 900: 0.13919344675488343, 850: 0.17399180844360432, 211: 0.2163141402271837, 200: 0.2192773476275561, 210: 0.21778566499063395, 212: 0.1749425833531322, 220: 0.23198907792480572, 390: 0.27838689350976686, 135: 0.1331521739130435, 101: 0.13598519888991675, 640: 0.288418853636245, 20: 0.0734632683658171, 2: 0.09539260220635952, 712: 0.25011322463768115, 713: 0.2026233718583746, 731: 0.25208262010726923, 732: 0.25208262010726923, 750: 0.2207896051974013, 775: 0.21778566499063395, 790: 0.20522110739502045, 840: 0.20654511453950444, 93: 0.14525691699604745, 94: 0.1389413988657845, 95: 0.12531969309462915, 130: 0.11835748792270533, 90: 0.11835748792270533, 92: 0.11212814645308924, 70: 0.10308555399719495, 91: 0.12290969899665553, 315: 0.23891412502703874, 290: 0.2561159420289855, 380: 0.2561159420289855, 385: 0.2602804288912455, 651: 0.23198907792480572, 652: 0.21486236747398113, 660: 0.2120165083021403, 663: 0.18943486836463425, 666: 0.2163141402271837, 375: 0.2407104718317533, 205: 0.17687565057250382, 225: 0.1905624568668047, 230: 0.19285839008206743, 780: 0.1676151453069277, 800: 0.17120049600868018, 645: 0.22705314009661837, 235: 0.1510117582718075}"
5,contiguity,1950,eigenvector_centrality,70,0.08218457922029532,"{41: 3.7203189412656674e-06, 40: 3.7967345481766288e-06, 42: 4.464824367727151e-06, 100: 9.93070907111838e-06, 678: 0.020229627523253194, 670: 0.12896980433868835, 345: 0.12358313595899435, 310: 0.13489485355992123, 325: 0.08104098913775683, 339: 0.054892923983644724, 350: 0.14533080966737513, 355: 0.1865624295477812, 360: 0.1851475707452795, 700: 0.14906848323349237, 365: 0.43424334689865135, 630: 0.19879185795857487, 710: 0.20630187094630356, 770: 0.11100323305189935, 160: 4.1547190690298e-06, 140: 7.047068166841471e-06, 145: 4.734287313718766e-06, 150: 3.2590464914901367e-06, 155: 2.9844675896000763e-06, 165: 2.2908453148515544e-06, 900: 0.005741048022763708, 850: 0.03660009378434024, 211: 0.10143534385012656, 200: 0.12886917352527963, 210: 0.12343108289238351, 212: 0.03580327460848322, 220: 0.12681487238159866, 390: 0.23174513978024894, 135: 5.7044432709909324e-06, 101: 4.3850674209161455e-06, 640: 0.3010714362922716, 20: 3.1496965861768803e-07, 2: 1.5402338669804594e-06, 712: 0.1004748045382486, 713: 0.03930374565364168, 731: 0.1191671743334098, 732: 0.1191671743334098, 750: 0.08066177122093252, 775: 0.0728429428797064, 790: 0.04501267596816509, 840: 0.044266362408197084, 93: 7.936586108688472e-06, 94: 7.016286038635514e-06, 95: 5.0886622863893555e-06, 130: 3.1974298423366762e-06, 90: 5.9672583338820645e-06, 92: 5.386595255933111e-06, 70: 3.4201628927377004e-06, 91: 5.4206463075290955e-06, 315: 0.1170070801783634, 290: 0.17680319899744998, 380: 0.18778856439477198, 385: 0.19802540466645982, 651: 0.17936846956733332, 652: 0.16156376425296537, 660: 0.12574615839144465, 663: 0.12117899509328992, 666: 0.15966326630799593, 375: 0.1563661191367368, 205: 0.04010652443439067, 225: 0.03260406048171769, 230: 0.03342651507798621, 780: 0.012652492145997977, 800: 0.029819580177742718, 645: 0.14298628055380697, 235: 0.005243257175239619}"
6,contiguity,1975,degree_centrality,146,0.03901747756258857,"{760: 0.013793103448275862, 710: 0.1103448275862069, 750: 0.07586206896551724, 571: 0.020689655172413793, 551: 0.04827586206896552, 552: 0.027586206896551724, 560: 0.034482758620689655, 516: 0.020689655172413793, 490: 0.06206896551724138, 510: 0.06896551724137931, 517: 0.027586206896551724, 402: 0.006896551724137931, 433: 0.041379310344827586, 482: 0.034482758620689655, 471: 0.05517241379310345, 483: 0.041379310344827586, 484: 0.034482758620689655, 625: 0.07586206896551724, 436: 0.05517241379310345, 475: 0.06206896551724138, 620: 0.06896551724137931, 581: 0.020689655172413793, 541: 0.05517241379310345, 580: 0.013793103448275862, 481: 0.041379310344827586, 540: 0.027586206896551724, 411: 0.027586206896551724, 403: 0.027586206896551724, 420: 0.006896551724137931, 55: 0.027586206896551724, 52: 0.034482758620689655, 53: 0.027586206896551724, 101: 0.04827586206896552, 110: 0.041379310344827586, 438: 0.041379310344827586, 404: 0.013793103448275862, 432: 0.04827586206896552, 437: 0.034482758620689655, 450: 0.020689655172413793, 451: 0.013793103448275862, 115: 0.020689655172413793, 140: 0.06206896551724138, 41: 0.034482758620689655, 31: 0.034482758620689655, 40: 0.04827586206896552, 42: 0.041379310344827586, 51: 0.04827586206896552, 100: 0.06896551724137931, 570: 0.006896551724137931, 435: 0.020689655172413793, 615: 0.06206896551724138, 500: 0.034482758620689655, 520: 0.041379310344827586, 501: 0.034482758620689655, 530: 0.041379310344827586, 678: 0.034482758620689655, 680: 0.041379310344827586, 698: 0.05517241379310345, 572: 0.013793103448275862, 670: 0.09655172413793103, 345: 0.04827586206896552, 305: 0.041379310344827586, 310: 0.034482758620689655, 325: 0.07586206896551724, 339: 0.027586206896551724, 350: 0.06206896551724138, 355: 0.034482758620689655, 360: 0.034482758620689655, 700: 0.027586206896551724, 365: 0.13793103448275862, 630: 0.07586206896551724, 770: 0.041379310344827586, 338: 0.034482758620689655, 220: 0.08275862068965517, 230: 0.041379310344827586, 600: 0.020689655172413793, 616: 0.041379310344827586, 160: 0.034482758620689655, 145: 0.034482758620689655, 150: 0.020689655172413793, 155: 0.020689655172413793, 165: 0.013793103448275862, 900: 0.013793103448275862, 850: 0.06896551724137931, 910: 0.013793103448275862, 225: 0.027586206896551724, 260: 0.0896551724137931, 315: 0.041379310344827586, 2: 0.034482758620689655, 692: 0.04827586206896552, 645: 0.05517241379310345, 690: 0.034482758620689655, 694: 0.04827586206896552, 696: 0.034482758620689655, 771: 0.013793103448275862, 775: 0.04827586206896552, 211: 0.041379310344827586, 200: 0.04827586206896552, 210: 0.041379310344827586, 212: 0.020689655172413793, 390: 0.06896551724137931, 434: 0.034482758620689655, 439: 0.041379310344827586, 452: 0.034482758620689655, 461: 0.027586206896551724, 135: 0.034482758620689655, 640: 0.08275862068965517, 811: 0.034482758620689655, 800: 0.05517241379310345, 812: 0.041379310344827586, 816: 0.04827586206896552, 817: 0.04827586206896552, 820: 0.05517241379310345, 20: 0.006896551724137931, 712: 0.013793103448275862, 713: 0.020689655172413793, 731: 0.027586206896551724, 732: 0.027586206896551724, 740: 0.041379310344827586, 790: 0.013793103448275862, 840: 0.034482758620689655, 93: 0.04827586206896552, 94: 0.034482758620689655, 95: 0.020689655172413793, 130: 0.013793103448275862, 90: 0.034482758620689655, 92: 0.027586206896551724, 70: 0.027586206896551724, 91: 0.041379310344827586, 352: 0.041379310344827586, 651: 0.06206896551724138, 652: 0.04827586206896552, 660: 0.034482758620689655, 666: 0.04827586206896552, 265: 0.041379310344827586, 290: 0.041379310344827586, 380: 0.04827586206896552, 385: 0.04827586206896552, 375: 0.027586206896551724, 205: 0.013793103448275862, 780: 0.006896551724137931, 781: 0.006896551724137931, 830: 0.013793103448275862, 663: 0.027586206896551724, 553: 0.020689655172413793, 235: 0.013793103448275862}"
7,contiguity,1975,closeness_centrality,146,0.20198522125170446,"{760: 0.20833333333333334, 710: 0.2580071174377224, 750: 0.2230769230769231, 571: 0.15778019586507072, 551: 0.1856594110115237, 552: 0.15829694323144106, 560: 0.14917695473251028, 516: 0.18125, 490: 0.2104499274310595, 510: 0.2030812324929972, 517: 0.18147684605757197, 402: 0.14587525150905434, 433: 0.17058823529411765, 482: 0.21137026239067055, 471: 0.20625889046941678, 483: 0.2369281045751634, 484: 0.18613607188703465, 625: 0.24871355060034306, 436: 0.23500810372771475, 475: 0.20567375886524822, 620: 0.27514231499051234, 581: 0.17038777908343125, 541: 0.17386091127098321, 580: 0.14841351074718526, 481: 0.17879161528976573, 540: 0.18238993710691823, 411: 0.17490952955367914, 403: 0.17490952955367914, 420: 0.14587525150905434, 55: 0.14146341463414633, 52: 0.1416015625, 53: 0.14146341463414633, 101: 0.1638418079096045, 110: 0.14257620452310718, 438: 0.1707891637220259, 404: 0.14661274014155712, 432: 0.20251396648044692, 437: 0.173444976076555, 450: 0.14902363823227133, 451: 0.1461693548387097, 115: 0.1268591426071741, 140: 0.14442231075697212, 41: 0.1870967741935484, 31: 0.21706586826347304, 40: 0.2183734939759036, 42: 0.18831168831168832, 51: 0.1880674448767834, 100: 0.16514806378132119, 570: 0.12992831541218638, 435: 0.19754768392370572, 615: 0.23927392739273928, 500: 0.20743919885550788, 520: 0.2230769230769231, 501: 0.21323529411764705, 530: 0.2269170579029734, 678: 0.2265625, 680: 0.23462783171521034, 698: 0.2504317789291883, 572: 0.14871794871794872, 670: 0.25846702317290554, 345: 0.23462783171521034, 305: 0.23424878836833601, 310: 0.24328859060402686, 325: 0.23500810372771475, 339: 0.212298682284041, 350: 0.2543859649122807, 355: 0.25663716814159293, 360: 0.25618374558303886, 700: 0.2548330404217926, 365: 0.3020833333333333, 630: 0.2837573385518591, 770: 0.24451939291736932, 338: 0.22342064714946072, 220: 0.24493243243243243, 230: 0.21771771771771772, 600: 0.19410977242302543, 616: 0.23125996810207336, 160: 0.1268591426071741, 145: 0.12697022767075306, 150: 0.12663755458515283, 155: 0.12608695652173912, 165: 0.12652705061082026, 900: 0.1579520697167756, 850: 0.1870967741935484, 910: 0.1579520697167756, 225: 0.23274478330658105, 260: 0.26032315978456017, 315: 0.24534686971235195, 2: 0.25528169014084506, 692: 0.2365415986949429, 645: 0.24451939291736932, 690: 0.23237179487179488, 694: 0.2365415986949429, 696: 0.2353896103896104, 771: 0.1830808080808081, 775: 0.2217125382262997, 211: 0.2227342549923195, 200: 0.22342064714946072, 210: 0.2230769230769231, 212: 0.22137404580152673, 390: 0.25846702317290554, 434: 0.19594594594594594, 439: 0.19489247311827956, 452: 0.1746987951807229, 461: 0.17365269461077845, 135: 0.1434223541048467, 640: 0.2882703777335984, 811: 0.17618469015795868, 800: 0.18613607188703465, 812: 0.20923520923520925, 816: 0.21014492753623187, 817: 0.21014492753623187, 820: 0.1866151866151866, 20: 0.20365168539325842, 712: 0.24046434494195687, 713: 0.20743919885550788, 731: 0.24126455906821964, 732: 0.24126455906821964, 740: 0.2441077441077441, 790: 0.20833333333333334, 840: 0.20953757225433525, 93: 0.16292134831460675, 94: 0.1621923937360179, 95: 0.14271653543307086, 130: 0.1422963689892051, 90: 0.18354430379746836, 92: 0.15934065934065933, 70: 0.21292217327459617, 91: 0.18447837150127228, 352: 0.23887973640856672, 651: 0.26268115942028986, 652: 0.2365415986949429, 660: 0.23462783171521034, 666: 0.23887973640856672, 265: 0.24369747899159663, 290: 0.24288107202680068, 380: 0.2441077441077441, 385: 0.24451939291736932, 375: 0.23462783171521034, 205: 0.19781718963165076, 780: 0.18261964735516373, 781: 0.18261964735516373, 830: 0.15812431842966193, 663: 0.20833333333333334, 553: 0.17261904761904762, 235: 0.1792336217552534}"
8,contiguity,1975,eigenvector_centrality,146,0.053912496863093455,"{760: 0.029119810473336432, 710: 0.16313912362525773, 750: 0.07029002479084694, 571: 0.001394563477964463, 551: 0.008070848787772039, 552: 0.0019505789515485191, 560: 0.0011567512130598186, 516: 0.006863126621699367, 490: 0.025751632943024787, 510: 0.019861982360573932, 517: 0.009398807555160045, 402: 0.0006478723349610286, 433: 0.005193437395063635, 482: 0.024340249915288353, 471: 0.01974372875001474, 483: 0.04120028904657788, 484: 0.010605623921672795, 625: 0.09780539493719205, 436: 0.04185465708592055, 475: 0.01838606073684943, 620: 0.1281279303772219, 581: 0.003231614574813628, 541: 0.0050127688751228725, 580: 0.0010285523900156143, 481: 0.008565298824124504, 540: 0.006611206568323915, 411: 0.006655648062950686, 403: 0.006655648062950686, 420: 0.0006478723349610286, 55: 0.00018621723116099738, 52: 0.00019945103706536725, 53: 0.00018621723116099738, 101: 0.000851990516664913, 110: 0.0002551217991937605, 438: 0.004346392022076638, 404: 0.0011900791170037749, 432: 0.02089800855953858, 437: 0.005532179959153273, 450: 0.001320533734839794, 451: 0.0007069422885088717, 115: 0.00011932100047432921, 140: 0.0005019469359336356, 41: 0.0034134349023402354, 31: 0.008357436295700064, 40: 0.009555189073282113, 42: 0.0035079291761553355, 51: 0.003949504669671372, 100: 0.001992930689050384, 570: 0.00014431574539360573, 435: 0.013901101854370147, 615: 0.0853421483360383, 500: 0.022860932472924582, 520: 0.043477789945333745, 501: 0.030429362832794064, 530: 0.059907724595447374, 678: 0.05653257258804497, 680: 0.06903707966417279, 698: 0.11273833857887165, 572: 0.0007696991471795677, 670: 0.18292414513351715, 345: 0.0902849597454097, 305: 0.09949752066359493, 310: 0.09665750169276319, 325: 0.13216761760478285, 339: 0.05187647987676235, 350: 0.12824205521103638, 355: 0.10939999405340932, 360: 0.10589660629172887, 700: 0.098675534071081, 365: 0.3419666145255442, 630: 0.19791708532323843, 770: 0.08797154395271697, 338: 0.0651530352339401, 220: 0.18161676220076473, 230: 0.06378705492099336, 600: 0.019905870394437426, 616: 0.08185877210014791, 160: 0.00011193943738033011, 145: 0.00014515360220470196, 150: 9.468634186657671e-05, 155: 7.89812521000838e-05, 165: 7.65792190467934e-05, 900: 0.007663900530533507, 850: 0.053771072162468236, 910: 0.007663900530533507, 225: 0.08369169605759912, 260: 0.25761384019761313, 315: 0.13718157772677073, 2: 0.046569139028215426, 692: 0.11593201684064268, 645: 0.13589009160745963, 690: 0.09338945057056575, 694: 0.11593201684064271, 696: 0.09050125613893988, 771: 0.016555700273564632, 775: 0.06242265593536728, 211: 0.12755844375902953, 200: 0.14348024423161265, 210: 0.13898236527782018, 212: 0.07070443762245844, 390: 0.23015140300774653, 434: 0.010458958522926661, 439: 0.0113511061834635, 452: 0.006430296827082617, 461: 0.005816705380751695, 135: 0.000376049193284573, 640: 0.21057307543660242, 811: 0.03419405540821448, 800: 0.054877385873046476, 812: 0.05378349690737826, 816: 0.058251966127910546, 817: 0.058251966127910546, 820: 0.04894012323906317, 20: 0.005809359801243723, 712: 0.06301060834932828, 713: 0.03847020021208914, 731: 0.08558600164109825, 732: 0.08558600164109825, 740: 0.09538308382608542, 790: 0.029119810473336432, 840: 0.049862110708492384, 93: 0.0016538189294705117, 94: 0.0008631329312557421, 95: 0.0005625882711491424, 130: 0.0002955198007988679, 90: 0.001777452865146155, 92: 0.0009323445038178533, 70: 0.007619702777305814, 91: 0.003179538586627752, 352: 0.09753062911469118, 651: 0.14287928627315133, 652: 0.10579054158127228, 660: 0.08330684263353715, 666: 0.1110074629356482, 265: 0.1604820378196905, 290: 0.14346599632998724, 380: 0.17608884149317586, 385: 0.1737057214144957, 375: 0.1041916037471223, 205: 0.04055439704509149, 780: 0.008768570050792398, 781: 0.008768570050792398, 830: 0.012813030481030612, 663: 0.06681923451227212, 553: 0.004110189371650264, 235: 0.010440428429398413}"
9,contiguity,2000,degree_centrality,189,0.030507711358775186,"{232: 0.010638297872340425, 220: 0.07446808510638298, 230: 0.0425531914893617, 58: 0.031914893617021274, 53: 0.0425531914893617, 55: 0.0425531914893617, 56: 0.0425531914893617, 57: 0.047872340425531915, 60: 0.03723404255319149, 101: 0.06382978723404255, 80: 0.02127659574468085, 40: 0.0425531914893617, 70: 0.026595744680851064, 90: 0.031914893617021274, 91: 0.03723404255319149, 760: 0.010638297872340425, 710: 0.09574468085106383, 750: 0.05851063829787234, 346: 0.010638297872340425, 344: 0.03723404255319149, 345: 0.0425531914893617, 571: 0.02127659574468085, 551: 0.0425531914893617, 552: 0.02127659574468085, 560: 0.031914893617021274, 565: 0.02127659574468085, 835: 0.010638297872340425, 820: 0.0425531914893617, 840: 0.03723404255319149, 516: 0.015957446808510637, 490: 0.047872340425531915, 510: 0.05851063829787234, 517: 0.02127659574468085, 402: 0.005319148936170213, 433: 0.031914893617021274, 482: 0.026595744680851064, 471: 0.0425531914893617, 483: 0.031914893617021274, 484: 0.026595744680851064, 625: 0.05851063829787234, 436: 0.0425531914893617, 475: 0.047872340425531915, 620: 0.05319148936170213, 581: 0.02127659574468085, 541: 0.047872340425531915, 580: 0.015957446808510637, 591: 0.026595744680851064, 481: 0.031914893617021274, 540: 0.026595744680851064, 54: 0.031914893617021274, 411: 0.02127659574468085, 403: 0.02127659574468085, 531: 0.026595744680851064, 522: 0.026595744680851064, 530: 0.026595744680851064, 670: 0.07446808510638298, 679: 0.031914893617021274, 987: 0.015957446808510637, 850: 0.05851063829787234, 910: 0.02127659574468085, 986: 0.015957446808510637, 950: 0.010638297872340425, 947: 0.010638297872340425, 955: 0.010638297872340425, 420: 0.005319148936170213, 52: 0.03723404255319149, 110: 0.0425531914893617, 438: 0.031914893617021274, 404: 0.010638297872340425, 432: 0.03723404255319149, 437: 0.026595744680851064, 450: 0.015957446808510637, 451: 0.010638297872340425, 115: 0.015957446808510637, 140: 0.047872340425531915, 41: 0.026595744680851064, 31: 0.026595744680851064, 42: 0.03723404255319149, 51: 0.03723404255319149, 100: 0.05319148936170213, 946: 0.015957446808510637, 970: 0.005319148936170213, 983: 0.005319148936170213, 570: 0.005319148936170213, 223: 0.010638297872340425, 225: 0.026595744680851064, 305: 0.0425531914893617, 435: 0.02127659574468085, 600: 0.02127659574468085, 615: 0.047872340425531915, 221: 0.015957446808510637, 325: 0.0797872340425532, 500: 0.026595744680851064, 331: 0.005319148936170213, 590: 0.005319148936170213, 940: 0.010638297872340425, 935: 0.005319148936170213, 520: 0.031914893617021274, 501: 0.026595744680851064, 698: 0.0425531914893617, 572: 0.010638297872340425, 990: 0.005319148936170213, 310: 0.03723404255319149, 339: 0.031914893617021274, 343: 0.02127659574468085, 355: 0.031914893617021274, 360: 0.031914893617021274, 700: 0.031914893617021274, 630: 0.07446808510638298, 701: 0.031914893617021274, 702: 0.02127659574468085, 704: 0.026595744680851064, 770: 0.031914893617021274, 338: 0.026595744680851064, 350: 0.05319148936170213, 616: 0.031914893617021274, 160: 0.026595744680851064, 145: 0.026595744680851064, 150: 0.015957446808510637, 155: 0.015957446808510637, 165: 0.010638297872340425, 371: 0.02127659574468085, 372: 0.026595744680851064, 373: 0.03723404255319149, 640: 0.0851063829787234, 900: 0.010638297872340425, 255: 0.0851063829787234, 316: 0.02127659574468085, 317: 0.026595744680851064, 349: 0.02127659574468085, 365: 0.11702127659574468, 705: 0.03723404255319149, 2: 0.026595744680851064, 692: 0.03723404255319149, 645: 0.0425531914893617, 690: 0.026595744680851064, 694: 0.03723404255319149, 696: 0.026595744680851064, 771: 0.010638297872340425, 775: 0.03723404255319149, 370: 0.026595744680851064, 290: 0.06382978723404255, 367: 0.047872340425531915, 368: 0.0425531914893617, 369: 0.05319148936170213, 211: 0.031914893617021274, 200: 0.03723404255319149, 210: 0.031914893617021274, 212: 0.015957446808510637, 390: 0.06382978723404255, 434: 0.026595744680851064, 439: 0.031914893617021274, 452: 0.026595744680851064, 461: 0.02127659574468085, 135: 0.026595744680851064, 811: 0.02127659574468085, 800: 0.03723404255319149, 812: 0.026595744680851064, 816: 0.031914893617021274, 20: 0.005319148936170213, 703: 0.02127659574468085, 712: 0.010638297872340425, 713: 0.015957446808510637, 731: 0.02127659574468085, 732: 0.02127659574468085, 740: 0.031914893617021274, 790: 0.010638297872340425, 93: 0.03723404255319149, 94: 0.026595744680851064, 95: 0.015957446808510637, 130: 0.010638297872340425, 92: 0.02127659574468085, 352: 0.031914893617021274, 651: 0.05319148936170213, 652: 0.03723404255319149, 660: 0.026595744680851064, 666: 0.03723404255319149, 366: 0.03723404255319149, 380: 0.047872340425531915, 385: 0.03723404255319149, 663: 0.026595744680851064, 375: 0.03723404255319149, 205: 0.010638297872340425, 780: 0.005319148936170213, 781: 0.005319148936170213, 830: 0.010638297872340425, 553: 0.015957446808510637, 359: 0.010638297872340425, 235: 0.010638297872340425}"
