232,220,"contiguity_type",1,"contiguity",2000
232,230,"contiguity_type",1,"contiguity",2000
58,53,"contiguity_type",5,"contiguity",2000
58,55,"contiguity_type",5,"contiguity",2000
58,56,"contiguity_type",5,"contiguity",2000
58,57,"contiguity_type",5,"contiguity",2000
58,60,"contiguity_type",3,"contiguity",2000
58,101,"contiguity_type",4,"contiguity",2000
80,40,"contiguity_type",5,"contiguity",2000
80,70,"contiguity_type",1,"contiguity",2000
80,90,"contiguity_type",1,"contiguity",2000
80,91,"contiguity_type",4,"contiguity",2000
760,710,"contiguity_type",1,"contiguity",1975
760,710,"contiguity_type",1,"contiguity",2000
760,750,"contiguity_type",1,"contiguity",1975
760,750,"contiguity_type",1,"contiguity",2000
346,344,"contiguity_type",1,"contiguity",2000
346,345,"contiguity_type",1,"contiguity",2000
571,551,"contiguity_type",1,"contiguity",1975
571,551,"contiguity_type",1,"contiguity",2000
571,552,"contiguity_type",1,"contiguity",1975
571,552,"contiguity_type",1,"contiguity",2000
571,560,"contiguity_type",1,"contiguity",1975
571,560,"contiguity_type",1,"contiguity",2000
571,565,"contiguity_type",1,"contiguity",2000
835,820,"contiguity_type",1,"contiguity",2000
835,840,"contiguity_type",5,"contiguity",2000
516,490,"contiguity_type",1,"contiguity",1975
516,490,"contiguity_type",1,"contiguity",2000
516,510,"contiguity_type",1,"contiguity",1975
516,510,"contiguity_type",1,"contiguity",2000
516,517,"contiguity_type",1,"contiguity",1975
516,517,"contiguity_type",1,"contiguity",2000
402,433,"contiguity_type",5,"contiguity",1975
402,433,"contiguity_type",5,"contiguity",2000
482,471,"contiguity_type",1,"contiguity",1975
482,471,"contiguity_type",1,"contiguity",2000
482,483,"contiguity_type",1,"contiguity",1975
482,483,"contiguity_type",1,"contiguity",2000
482,484,"contiguity_type",1,"contiguity",1975
482,484,"contiguity_type",1,"contiguity",2000
482,490,"contiguity_type",1,"contiguity",1975
482,490,"contiguity_type",1,"contiguity",2000
482,625,"contiguity_type",1,"contiguity",1975
482,625,"contiguity_type",1,"contiguity",2000
483,436,"contiguity_type",1,"contiguity",1975
483,436,"contiguity_type",1,"contiguity",2000
483,471,"contiguity_type",1,"contiguity",1975
